,date,user,location,text,label
50,2021-03-24 15:31:01,Mistress_Troy,New york city,"My leather face mask from Lux Tenebrae goes with all My outfits.
@Luxleather1 #FaceMask #FaceMasks https://t.co/ZAzjxRXShE",4
51,2021-03-17 22:59:53,urbanpearlgirl,Dallas TX USA,Designer Multi Color Face Mask With Toggle Colorful Aboriginal Art Print Black and White Adjustable Face Covering O… https://t.co/Veut27uzFn,2
52,2021-03-17 19:40:14,alaasaid0000,"Brescia,italia",#FaceMask with Adjustable Ear Loops &amp; Nose Wire https://t.co/ZeS6CRum6Y,2
53,2021-03-22 11:59:24,ArtandPatterns,"London, England","Are you looking to #buy #Colourful #Handmade #Art #Bags #Facemasks #Earrings - Treat yourself, family and friends -… https://t.co/cm4HXbjzg1",4
54,2021-03-17 08:40:26,rakistaradio,,"NOW AVAILABLE: RAKISTA FACEMASK (https://t.co/AHa6RhqJRC)
P199 each // get 3 for only P499

#Rakista… https://t.co/olJ3JpDb5O",3
55,2021-03-24 01:01:37,urbanpearlgirl,Dallas TX USA,Blue Face Mask With Toggle Adjustable Over the Head Fashion Mask Blue Waves Face Covering https://t.co/eudIfgAGCM… https://t.co/czV1HkS5lx,2
56,2021-03-23 17:01:16,MmkSupply,"Saskatoon, SK, CA, S7P 0B6","See our products in action! At MMK Supply we find the hard to find. 
•
•
•
•
#MMKSupply #Canada #Saskatoon… https://t.co/1Ux1lVoKe5",0
57,2021-03-22 04:34:39,armor_eos,,"3,987 new coronavirus cases Sunday puts Florida's total at 2,008,349

Check this out https://t.co/GHBxmmr6gf… https://t.co/iz48po6iuT",1
58,2021-03-20 15:04:53,sacramento_copy,Sacramento Ca,"https://t.co/5g2DHIbueL
Comfy Masks $4.95 each

Promote a safe and healthy lifestyle along with your logo with o… https://t.co/u95HBWcvxa",4
59,2021-03-23 00:05:19,MaskAirAid,"Sausalito, CA","""Dance To The Music"" available at MaskAirAid.  Shop now 👉 https://t.co/E1oDQI8v7w  
FREE SHIPPING!  
#facemasks… https://t.co/JKipsdyx9p",3
60,2021-03-19 09:54:51,urbanpearlgirl,Dallas TX USA,Blue Face Mask With Toggle Adjustable Over the Head Fashion Mask Blue Waves Face Covering https://t.co/eudIfgAGCM… https://t.co/kZlXXSmyp2,2
61,2021-03-19 17:53:41,DFLcoder,"Gothenburg, Sweden","#facemasks is not an ""instead of"" to  #SocialDistancing.

#Corona #COVID19",1
62,2021-03-18 11:06:15,KPSAUTO,"Luton, Bedfordshire, UK","The latest on the vaccine rollout can be seen below, but in the meantime if we all want to stay safe then wear a fa… https://t.co/yKQI0bkEVK",1
63,2021-03-24 00:44:29,EugeStore,,"Face mask CR7 Black New by MyCompadreShop https://t.co/oJoPuKlljm via @Etsy 
#facemask #facemasks #COVIDー19… https://t.co/SrqD7CiyMS",1
64,2021-03-21 11:51:38,MURPHYPJ,IRELAND,#BELFAST ART ON HOME DECOR &amp; https://t.co/T6DcgdkqNt #wallart #homedecor #phonecases #coffee #mugs #fleeceblankets… https://t.co/c5ys7T1Ku3,0
65,2021-03-19 22:27:06,MGDezigns,Online,Chic Zebra Stripes Pink Roses Trendy Pattern Premium Face Mask  https://t.co/VMP3bd8A6W #covid #facemasks #covid19… https://t.co/Byy3xRzkpy,2
66,2021-03-21 11:59:20,ArtandPatterns,"London, England","Are you looking to #buy #Colourful #Handmade #Art #Bags #Facemasks #Earrings - Treat yourself, family and friends -… https://t.co/FsTzxWNMwt",4
67,2021-03-24 00:37:09,EugeStore,,"Face mask Inter FC New by MyCompadreShop https://t.co/MQKxvjjYY0 via @Etsy 
#facemask #facemasks #COVIDー19 #COVID19… https://t.co/2Q8QQXFzOe",1
68,2021-03-21 13:36:00,ElklanTraining,UK,Face masks are now a part of our daily life and brands have stated to explore hi-tech features focussed on safety a… https://t.co/4CyoeD7cDA,1
69,2021-03-23 20:42:43,MaggieGuile,,"Check out this item in my Etsy shop https://t.co/9wmmSfmcGB

#etsy #etsygifts #facemasks #facemask #tiedye #homeMade #smallbusiness",2
70,2021-03-23 20:39:30,PCMCamisetas,El Mundo,"Save up to 30% Off everything
#gifts #wallart #apparel #homedecor #office #tech #bags #furniture #tabletop #outdoor… https://t.co/8SEHhcy334",0
71,2021-03-17 11:49:25,masque242,Europe,"#Pink #raspberry #lace #facemask, #cotton jersey 3 layer, #bridesmaids mask, #bridal #wedding face mask, #handmade… https://t.co/xGmRuo0z7P",4
72,2021-03-24 08:06:06,HitexJo,,"Wearing Face Masks during the post COVID-19 Era:  Norm or exception?

See more of blog: https://t.co/hVwwljkwrQ… https://t.co/BOu3JGeCZc",1
73,2021-03-23 13:35:05,LMIC_CIMT,Canada,"In February 2021, over 400 job online postings required #facemasks or #faceshields, a 3000% increase from last year… https://t.co/RUibDX29Ye",0
74,2021-03-22 06:17:49,dylanaaron_,Probably with Mariela,We are doing a fundraiser for my guard kids! 50% of all orders will be put towards their rebuilding! Anything helps… https://t.co/xV5R9iEDoa,0
75,2021-03-21 11:18:07,Sunleil,,"We're all going to be wearing #Facemasks for a while, which is all the more reason to find one that you like with U… https://t.co/5wvYhTK9au",2
76,2021-03-18 05:53:54,tamitrailscapes,"Allentown, Pennsylvania","https://t.co/UeBjFDcwxV #ThankYou so much to the buyer of a ""Sundae In New York"" #facemask from #Harrisburg… https://t.co/qDXt5kQqSd",0
77,2021-03-20 12:39:03,LeeHillerDesign,Here There and Everywhere ,"🌸✋🌼😷💮👐🌸😷🌼✋💮
#facemasks #facemasks4all
#gifts #shoppingonline #healthandsafety #onlineshopping #socialdistancing… https://t.co/Nxf8WFcCPN",1
78,2021-03-24 08:08:06,OpenLitterMap,Global/Ireland,Lovely morning at the #lough here in #cork except for all the #litter #facemasks and even a duck eating broken glas… https://t.co/BYd12uKhGS,0
79,2021-03-21 18:30:00,TshirtPainter,,"Fan gear today 35% off t-shirts pajamas tote bags,  25% off aprons masks #LifeAndDeathBrigade #InOmniaParatus… https://t.co/tQ9zDHFHaj",1
80,2021-03-19 10:55:03,therealjanbow,London England,Something I’ve been wondering since start of #covid - is there some particular reason why all the windows on the… https://t.co/UB8P8iMK6U,1
81,2021-03-23 20:30:02,Moomettes,"New England, USA",Butterfly Face Mask #Butterflies Yellow Floral Flowers Purple Lilac Handmade USA https://t.co/zU77X97eQr #etsyshop… https://t.co/PSSH3aGF4C,2
82,2021-03-18 16:15:04,sunshinesmasks,florida ,Phillies fans where are ya #harpertank #flyershat #philadelphiaphillies #philadelphiaflyers #bryceharper… https://t.co/E1G5Pcpw3w,0
83,2021-03-20 18:20:39,TravelerFromMI,"Detroit, MI","Hey guys! I’ve released a new line of face masks! I had a few available in the shop before, but these bad boys are… https://t.co/Ydfhju8KMk",0
84,2021-03-18 06:44:00,ColinBBaker,Los Angeles,"Where did the flu season go?
https://t.co/3jvYT7nhzs
#flu #health #pandemic #shots #vaccinations #N95 #facemask",1
85,2021-03-24 06:00:03,Moomettes,"New England, USA",You take great care putting together outfits Add a #Stylish Aqua Blue Floral Face Mask Batik Reversible Adjustable… https://t.co/yZJ6JDoQPs,2
86,2021-03-17 15:35:30,proofreaderjkkk,Working on my novel … leave me alone!,Face Mask https://t.co/3NzQogkePP via @zazzle #FaceMask #Coronavirus #COVID #COVID19 #Disease #Health #Hygiene… https://t.co/Tn9MzpB0QC,1
87,2021-03-19 12:28:09,mj_santos,Planet Earth,"#Fact: @BillGates @WHO @wef with #governments are harming ALL #children and #adults with #facemasks,… https://t.co/7QtHi2ID37",1
88,2021-03-17 01:49:26,masque242,Europe,"#Butterfly print face #mask, #Green and #white #cotton #facemask, #vintage #fabric reusable washable #handmade… https://t.co/XFClip8aKI",4
89,2021-03-22 07:17:10,PCMCamisetas,El Mundo,"#gifts #tshirts #homedecorideas #bags #mugs #tech #office #wallart #facemasks

Design Dark Little Red Hood #creepy… https://t.co/rEzUpasXfn",0
90,2021-03-17 17:26:00,Promotions_Now,New Jersey,"It's the PPE Blowout Sale! Shop Price Drops on Sanitizers, Masks and More, Now!  https://t.co/NbJruYOoBu… https://t.co/Tw7hymjCDd",3
91,2021-03-18 13:34:41,SportsFeb,"Sialkot, Pakistan",Our new working glove order is processing.Please let us know your requirements or visit https://t.co/zQxO8YU9GP or… https://t.co/xRxeQGfYhs,0
92,2021-03-18 09:25:57,JkeMask,,"Jiekangen hot sale children mask, safety medical standard material for child. size:14.5cm*9.5cm, packaging:10PCS/BA… https://t.co/hRrHn1n6y8",1
93,2021-03-21 09:30:06,novariancreates,United States,"😍 24K Ancient Gold Face Mask Formula 😍
by Novarian Creations price starting from $51.50.  #FaceMasks Get it now! 👉👉… https://t.co/Qr08WNXSQh",3
94,2021-03-17 08:10:47,URSparklingShop,Worldwide,Pi Digits Math Love Black and White Numbers Adult Cloth Face Mask https://t.co/qadFJX1a14 via @zazzle #PiDay2021 #facemask,2
95,2021-03-18 13:57:03,rhyanstjames,Philippines,"St. Philomena, protect us!

#catholic #facemask #mask #COVID19 #saintphilomena https://t.co/oBlU3GDDvp",1
96,2021-03-22 19:58:23,DoctorKillPain,Free Shipping Worldwide,"Transparent Face Mask For Kids Now Available!

Buy here: https://t.co/ZHml7usHdw

#NewArrivals… https://t.co/c8uTzTcvqY",4
97,2021-03-17 09:59:03,urbanpearlgirl,Dallas TX USA,Black And White Face Mask Aboriginal Art Print Mask Adjustable Over The Head Face Covering Bush Tucker… https://t.co/EOJU5Gru7M,2
98,2021-03-17 23:53:40,Keyb0rdwarrior,,I can somehow understand people that wear a facemask inside a supermarket or whatever.. but outside.. in fresh air?… https://t.co/zzrcsOFikH,1
99,2021-03-17 21:01:00,DEFEN95,"Los Angeles, CA","Happy #StPatricksDay 🍀 Celebrate today by wearing green, but don't forget your #facemask!  

Purchase a KN95 respir… https://t.co/MXe7ikG4tW",1
100,2021-03-23 09:49:36,zazzlegifts4u,United Kingdom,"Magical Whimsical #Unicorn I Believe Personalise #facemasks #kidsfacemasks
https://t.co/KdX43YoHWW",2
101,2021-03-23 23:52:07,MGDezigns,Online,Chic Leopard Print Pink Roses Modern Pattern Premium Face Mask https://t.co/8MHsHSIVn1 #covid #facemasks #covid19… https://t.co/5daDfQCOTM,1
102,2021-03-17 04:19:26,masque242,Europe,"Pale #pink and #white lace #facemask, #cotton jersey 3 layer, #bridesmaids mask, #bridal #wedding face #mask,… https://t.co/4VuS9QZgaA",4
103,2021-03-18 03:34:29,RaySevilleProd,"Minnesota, USA","WEDNESDAY! 

#nike
#planetfitness 
#gymlife
#seniorlifestyle 
#resetbutton 
#rayseville 
#coreday 
#facemask… https://t.co/QcVr44xO1j",0
104,2021-03-18 09:18:06,PeteMoring,Berks. UK,"You WILL!! Wear Your #FaceMask!
You Are NOW! #UnderTheEYE of #AI!

https://t.co/l3Cd73Vy5m",1
105,2021-03-17 17:30:18,BradPorcellato,"New Westminster, BC.","#Greenbrier #Tubac, #Bigox #FaceMask 50Pcs Masks (Black/Blue) by Bigox via #Amazon. https://t.co/MdUbE951Fa",0
106,2021-03-17 14:11:19,PCMCamisetas,El Mundo,"#gifts #wallart #apparel #homedecor #bags #mugs #tech #stationery #facemask #findyourthing

Design Heroes… https://t.co/qsduDRKjr0",0
107,2021-03-21 09:10:08,ArtistJamieRoxx,Deerfield Beach FL,📷 jamieroxxartist: Today in #RoxxGear https://t.co/CIGhXfxnhy the Official #JamieRoxx #PopArt Paintings #Merch… https://t.co/G0T00NYIM8,0
108,2021-03-21 06:29:06,stankeviciusint,"Dublin, Ireland","Selling: #NitrileGloves, #1860 #FaceMasks, #Vaccines #SputnikV, #syringes. Contact sales: https://t.co/gWmRopLARO o… https://t.co/zkLPosmgJ8",1
109,2021-03-18 20:00:20,rvkgrapevine,Reykjavík,"Face mask containing Icelandic Birch Leaves, Aloe Vera, Nordic Kelp and more. Revitalizing and cleansing! Each bag… https://t.co/WZGBJr0L12",2
110,2021-03-20 15:56:38,urbanpearlgirl,Dallas TX USA,Reusable Adjustable Navy Stars Face Mask White Stars and Stripes Batik Cotton Over the Head Fashion Face Covering… https://t.co/zlFn9XQINV,4
111,2021-03-23 17:26:00,Promotions_Now,New Jersey,Deep Discounts on In Stock Face Masks PLUS Free Shipping! Order Now!  https://t.co/NbJruYwNcU  #masks #facemasks… https://t.co/pjMnkB3HgR,3
112,2021-03-21 22:12:04,LeeHillerDesign,Here There and Everywhere ,"🌸✋🌼😷💮👐🌸😷🌼✋💮
#facemasks #facemasks4all
#gifts #shoppingonline #healthandsafety #onlineshopping #socialdistancing… https://t.co/PY53DdxDTe",1
113,2021-03-19 19:36:54,zazzlephotos,"Washington, USA",Save 30% on all Face Masks! Visit store for details and promo code. Blue Hydrangea Blooms Floral Pattern Face Mask… https://t.co/RifjnGfJ8T,3
114,2021-03-17 20:50:11,PCMCamisetas,El Mundo,"#gifts #wallart #apparel #homedecor #bags #mugs #tech #stationery #facemask #findyourthing

Design Rurouni #Himura… https://t.co/rBJTZzzG9O",0
115,2021-03-19 07:22:40,jazzcattrio,San Francisco Bay Area,"One of my #facemask designs, #roses painted in watercolor. Welcome #spring and be safe. https://t.co/Kv0h48njFc… https://t.co/woVyX3SWJX",2
116,2021-03-23 22:28:04,LeeHillerLondon,Arkansas,"🌸✋🌼😷💮👐🌸😷🌼✋💮
#facemasks #facemasks4all
#gifts #shoppingonline #healthandsafety#onlineshopping #socialdistancing… https://t.co/0wfZlt2tXt",1
117,2021-03-22 12:21:09,ColonelRobHans,"New York, USA","Look For &amp; Buy Your Face Mask - One Size Fits All Over 11,000 photos to choose from @ https://t.co/nWAq8Pg1ig… https://t.co/yG6pCfpNxx",3
118,2021-03-18 00:00:42,casababrand,"Los Angeles, CA",This Pandemic has done too much to us and has taken our grateful life from us. But we have to fight back and save o… https://t.co/99CVfa9EvH,1
119,2021-03-22 03:11:11,3bomasks1,India,"Experience the whole new level of comfort with the 3bO mask. 

Buy yours online from https://t.co/tMUsfMPDfv… https://t.co/cqQq7SsnBZ",4
120,2021-03-17 08:02:00,MetlabP,"Deeside, Flintshire","For your #PPE needs visit https://t.co/PpWrBZ577u

FREE UK Mainland delivery!

#facemask #facecoverings… https://t.co/KqIz8G7yKS",3
121,2021-03-19 17:15:04,Moomettes,"New England, USA",Pink Brown Face Mask Abstract Reversible Adjustable Fitted #Facemask Handmade USA https://t.co/8lSqGdNcQ3 #etsyshop… https://t.co/gxDYTo6VaP,2
122,2021-03-21 05:03:06,MGDezigns,Online,Gold floral Scissors Hairstylist Hair Salon Name Premium Face Mask https://t.co/qbHOprhsiS #facemasks #coronavirus… https://t.co/JsZc5vpr2Y,0
123,2021-03-18 23:41:58,domainflexi,"Miami, FL","https://t.co/Ljche59nDz The number one destination for all types of masks.
#Mask #MaskUp #facemask #Masks 👇 https://t.co/wD3GFp6tAp",0
124,2021-03-18 07:15:35,HurmerintaArt,Finland,"Happy Bright Morning In The Jungle.

#facemask
https://t.co/BvbDllzn8H #findyourthing #redbubble",0
125,2021-03-22 10:29:02,onewmphoto,Georgia,"@cavidaga Don't get me wrong, I'm all for #SocialDistancing and #FaceMasks, but I have reached the end of being locked in at 9pm. #COVID19",1
126,2021-03-17 06:49:14,Gothicsteamret1,"Julian Cañedo 4, 33008 Oviedo","Fallout Wasteland Gas Mask and goggle in chrome , Steampunk Zombie Post-Apocalyptic facemask - Mad Max mask - burni… https://t.co/hUYwXr5O9k",0
127,2021-03-19 05:32:02,armor_eos,,"Coronavirus update, March 18: Daily new cases depict setback for Stanislaus County

Check this out… https://t.co/bBnoTsxNqO",1
128,2021-03-20 03:45:04,Moomettes,"New England, USA",Teal Blue Pink Floral Face Mask Adjustable Fitted #Facemask Handmade in USA https://t.co/i7riKXN6DI #etsyshop… https://t.co/ijreD2V2Dp,2
129,2021-03-19 09:05:17,ArtistJamieRoxx,Deerfield Beach FL,📷 Today in #RoxxGear https://t.co/CIGhXfxnhy the Official #JamieRoxx #PopArt Paintings #Merch #WebStore: ● 40% Off… https://t.co/UrZw3m2zbI,3
130,2021-03-17 13:30:17,HerMileun,"Atlanta, GA","St. Patrick's Day Mask
30%OFF ENTIRE STORE

#fashion #onlineboutique #jewelry#celebrityinspired #fashionista… https://t.co/DLBkuZQCS3",3
131,2021-03-23 18:58:33,ALNewsNetwork,"Montgomery, Alabama","MASK GIVEAWAY: Alabama's mask order may be expiring April 9, but health experts say masks will still be needed. The… https://t.co/bN0YI5DYK8",1
132,2021-03-21 15:21:21,ArtDecoFineArt,"Los Angeles, California","We're honoring #cities with #artwork that may be a wall hanging, but also works well on #duvetcovers, #Tshirts,… https://t.co/BtZ9c1Piom",0
133,2021-03-18 08:33:36,weixuyuan,Dongguan Qishi Town,"https://t.co/BUNAEG4qmH

Qualification

Our products export to wordwide, including Americal , European countries an… https://t.co/17hfBYOCto",1
134,2021-03-17 16:26:00,16sixtyPk,Millat Town Faisalabad ,"Wear it right ✅✔️ safer and more comfortable with the style🌺🌷🌿
Men's Face Mask Collection

DM for orders!
Or visit… https://t.co/UGmwe4EPGC",1
135,2021-03-20 21:26:12,Sunleil,,"#Fashionable Unique #Painted #Desert #FaceMasks - Washable in Hot Water, after each use and Tumble Dry, #Masks are… https://t.co/TaZR7oKfTQ",4
136,2021-03-24 09:13:53,HSRCza,South Africa,Any restrictions on our rights needs to be logical and transparent #facemasks versus #clothesyoucanbuy and… https://t.co/kEnpIKCZEy,4
137,2021-03-20 04:19:31,sinceindmedia,India,"Coronavirus: Punjab Govt Announces Closure of Educational Institutions till March 31
#Congress #Coronavirus… https://t.co/973gWwaplU",1
